text,contains exclamation mark,hasHashtag,Count uppercase letters,Count Lowercase letters,Number_of_Characters,has first person Pronoun,Contains smiling emoticon,Sentiment Score(n+-),No_of_positive_words,No_of_negative_words,isPositiveSentiment,isNegativeSentiment,isNeutralSentiment,hasUserMention(Old System feature),hasURL(Old System feature),hasQuestionMark(Old System Feature),truncated,hasUserDescription,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,isFrequentAuthor(Old system feature),RegAgeInDays(Old System Feature),geo_enabled,profile_background_tile,profile_use_background_image,default_profile,default_profile_image,retweet_count,favorite_count,class
  @ABSCBNNews: Uber on new fine from LTFRB: Were working hard to meet conditions for lifting of suspension &amp; hope to resume operations as\u2026,FALSE,FALSE,14,99,145,FALSE,FALSE,88.2192,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5478374,1300,7099,873,519283,TRUE,3338,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,TRUE
LOOK CJ Maria Lourdes Sereno at the World Pandesal Day forum talks about being sensitive to injustice to the poor,FALSE,FALSE,12,82,113,FALSE,FALSE,50,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,21942,820,153,318,6739,TRUE,2911,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A bag of milled rice was selling at P10000 in Iligan City at the height of the fighting in Marawi but I don  t thi\u2026 https://t.co/4MG7s85spo,FALSE,FALSE,8,91,143,TRUE,FALSE,55.2121,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1442,115,6,94,585,FALSE,78,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
Good. Pero how do you square this with your presents repeated statements to kill kill kill? So make sure cops ar\u2026 https\/\/t.co\/qzMZTv3OLj,FALSE,FALSE,8,100,144,FALSE,FALSE,88.81,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,5633,457,142,4117,230,FALSE,2596,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Duterte Declares Limited Martial Law As Bloodshed Breaks Out In Marawi City,FALSE,FALSE,12,52,75,FALSE,FALSE,65.19,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,888,FALSE,734,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
You want proof that the Constitution needs no amending?Atio Castillo  s case among others in the https://t.co/h39vF8JDqe ppl invoking rights.,FALSE,FALSE,7,104,140,FALSE,FALSE,51.2051,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,416,385,13,58832,19187,FALSE,700,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
New post (Philippines Duterte vows to be harsh with martial law in Mindanao) has been published on Bonjourn ...\u2026 https\/\/t.co\/BE1NeCbJBc,FALSE,FALSE,11,95,143,FALSE,FALSE,59.5,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,204,314,2,0,51026,FALSE,410,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
  @disasters_ph Watch billions of pesos flood in from Saudi and other Gulf states to help their Muslim brothers in Marawi. Right?,FALSE,FALSE,6,97,127,FALSE,FALSE,90.9234,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,99,1,390,805,FALSE,665,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE
BREAKING Police chief   @Fuzi_Harun confirms East Malaysian militant took teenage son to #Marawi. Our report.\u2026 https//t.co/TSDouZ1NbZ,FALSE,TRUE,21,85,136,FALSE,FALSE,50,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,266,635,17,411,1687,FALSE,554,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
Reynaldo de Guzman Rafael Mariano and Leni Robredo in tonights newscast with   @margie_deleon https\/\/t.co\/LYXgbpDsqi,FALSE,FALSE,10,85,117,FALSE,FALSE,55.7425,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2788617,404,3498,7162,437716,TRUE,2283,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
