text,contains exclamation mark,hasHashtag,Count uppercase letters,Count Lowercase letters,Number_of_Characters,has first person Pronoun,Contains smiling emoticon,Sentiment Score(n+-),No_of_positive_words,No_of_negative_words,isPositiveSentiment,isNegativeSentiment,isNeutralSentiment,hasUserMention(Old System feature),hasURL(Old System feature),hasQuestionMark(Old System Feature),truncated,hasUserDescription,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,isFrequentAuthor(Old system feature),RegAgeInDays(Old System Feature),geo_enabled,profile_background_tile,profile_use_background_image,default_profile,default_profile_image,retweet_count,favorite_count,class
BAYAN-ST \Never again to Martial Law\; Force is not a long term solution to Mindanao problems #StandwithMarawi,FALSE,TRUE,14,75,110,FALSE,FALSE,54.39,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,705,709,2,348,997,FALSE,1567,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Present Duterte I might declare Martial Law throughout the whole country to protect it.,FALSE,FALSE,5,68,87,TRUE,FALSE,52.11,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,219,518,20,19071,26987,FALSE,1613,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
 @inquirerdotnet: LTFRB fines Uber P190M lifts one-month suspension https://t.co/WhXu1Ej6XD,FALSE,FALSE,13,56,90,FALSE,FALSE,71.7883,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2622613,1892,5518,2301,584242,TRUE,3369,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
READ Statement of Sen   bamaquino on the brutal killing of 14-yr old Reynaldo De Guzman. | via   maeannelosbanos https\/\/t.co\/fm4POOrqLI,FALSE,FALSE,14,89,136,FALSE,FALSE,70.19,0,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,176806,792,909,1352,176589,TRUE,2446,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,TRUE
Justice Secretary Aguirre orders NBI to probe death of 14-year-old Reynaldo de Guzman found today in Nueva Ecija |   anjocalimario,FALSE,FALSE,10,94,129,FALSE,FALSE,94,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,30,0,0,1521,FALSE,45,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Fratman who wants \u2018pity and settlement to Atio\u2019s parents was first violator of anti-drunk driving law; Me sabit\nhttps//t.co/gno9Najkar,FALSE,FALSE,4,106,145,FALSE,FALSE,54.9282,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,11612,62,73,4644,114270,TRUE,1293,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE
Duterte Martial law of Marcos is very good. \n\nLIVE https\/\/t.co\/xqVm6mTcvY,FALSE,FALSE,10,48,78,FALSE,FALSE,96.95,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1260,497,1289,2700,315606,TRUE,2083,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Duterte By virtue of the power vested in me by the Constitution I have to declare martial law in Mindanao. ?,FALSE,FALSE,5,81,108,TRUE,FALSE,50.31,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2205,464,128,2090,334362,TRUE,964,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
Telegram app reportedly involved as ISIS claims responsibility for Manchester attack\n\nhttps\/\/t.co\/TIsPAlDuhC,FALSE,FALSE,12,82,113,FALSE,FALSE,52.69,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,88,13,3,2,18528,FALSE,2593,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
 @cnnphilippines: The order was just a notice to Uber relaying the terms LTFRB sets before the agency restores Uber  s accreditation |   ma\u2026,FALSE,FALSE,8,103,142,FALSE,FALSE,94.9876,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,279526,329,1183,60,204225,TRUE,1117,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
