text,contains exclamation mark,hasHashtag,Count uppercase letters,Count Lowercase letters,Number_of_Characters,has first person Pronoun,Contains smiling emoticon,Sentiment Score(n+-),No_of_positive_words,No_of_negative_words,isPositiveSentiment,isNegativeSentiment,isNeutralSentiment,hasUserMention(Old System feature),hasURL(Old System feature),hasQuestionMark(Old System Feature),truncated,hasUserDescription,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,isFrequentAuthor(Old system feature),RegAgeInDays(Old System Feature),geo_enabled,profile_background_tile,profile_use_background_image,default_profile,default_profile_image,retweet_count,favorite_count,class
BREAKING Duterte Declares Martial Law on Southern Island in ISIS Fight https\/\/t.co\/vdpzIbtZho TeaPartyOrg\n\nBREAKING Duterte Declares Ma\u2026,FALSE,FALSE,35,82,146,FALSE,FALSE,59.6,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8790,6110,92,869,268698,TRUE,501,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
Eduardo Gabriel (Father of Reynaldo de Guzman) We searched for him everywhere | #CNNPHNewsNight live https\/\/t.co\/CaczwF9CtH,FALSE,TRUE,17,82,126,FALSE,FALSE,72.92,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,282031,330,1183,59,207569,TRUE,1117,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE
Retweeted Christian Ganchero (@ianganchero)\n\n14-yr old Reynaldo de Guzman who used to be in company with Carl... https\/\/t.co\/6Bw7cA6F1N,FALSE,FALSE,10,92,140,FALSE,FALSE,53.85,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,187,151,3,126,8996,FALSE,2665,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,TRUE
Uber is back but LTFRB is asking for 190 million fine \U0001f44f,FALSE,FALSE,7,36,64,FALSE,FALSE,52.0074,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,643,320,3,26991,52809,FALSE,2596,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE
Netizens started trending the hashtag #FireMocha and even called the attention of PCOO Sec. Martin Andanar. https\/\/t.co\/izg0zUmCqw,FALSE,TRUE,12,94,133,FALSE,FALSE,53.5,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1344,52,14,3590,21557,TRUE,2918,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,TRUE
Families of 165 soldiers killed in the Marawi seige will receive P2million each from Ramon Ang maybe in exchange for new airport in Bulacan.,FALSE,FALSE,6,106,140,FALSE,FALSE,53.451,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,42,51,1,12,6314,FALSE,1241,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
 @CupcakeMaoist It s not ISIS. They declared allegiance to ISIS. This is fueled by Moro oppression which is done by\u2026 https://t.co/Nt1v2e5nlm,FALSE,FALSE,15,93,144,FALSE,FALSE,65.8332,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,302,537,2,7088,4463,FALSE,640,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE
Mindanao Is Placed Under Martial Law https\/\/t.co\/ZhUfdDoojg,FALSE,FALSE,9,40,62,FALSE,FALSE,50,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,325,4,5,149,375,FALSE,295,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,TRUE
@ABSCBNNews: @jacquemanabat LTFRB has also asked Uber to remit financial assistance and pay TNVS peer-operators P19 949 600 per day unti\u2026,FALSE,FALSE,18,87,142,FALSE,FALSE,68.6258,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5478374,1300,7099,873,519283,TRUE,3338,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,TRUE
Senator risahontiveros The brutal stabbing of 14-year-old Reynaldo de Guzman is a vile gruesome and barbaric act \u2026,FALSE,FALSE,4,89,119,FALSE,FALSE,85.9,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1887,415,517,281,614177,TRUE,3119,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,TRUE
